Season,Ranking,Play Order,Title,Author,Map,Notes,Doom wiki,IWAD,Files,CompLevel
1994,8,1,Return to Phobos: M1,Michael Kelsey ,E1M1,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,2,Return to Phobos: M2,Michael Kelsey ,E1M2,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,3,Return to Phobos: M3,Michael Kelsey ,E1M3,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,4,Return to Phobos: M4,Michael Kelsey ,E1M4,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,5,Return to Phobos: M5,Michael Kelsey ,E1M5,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,6,Return to Phobos: M6,Michael Kelsey ,E1M6,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,7,Return to Phobos: M7,Michael Kelsey ,E1M7,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,8,Return to Phobos: M8,Michael Kelsey ,E1M8,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,8,9,Return to Phobos: M9,Michael Kelsey ,E1M9,,https://doomwiki.org/wiki/Return_to_Phobos,DOOM.WAD,TINK.WAD|RETURN01.WAD,
1994,9,1,Slaughter Until Death: Flying Guts,Thomas Möller,E2M1,Modders collectively referred to as The Innocent Crew,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,2,Slaughter Until Death: Mysterious Halls,Denis Möller,E2M2,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,3,Slaughter Until Death: The Blazed,Thomas Möller,E2M3,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,4,Slaughter Until Death: Death Pain,Denis Möller,E2M4,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,5,Slaughter Until Death: Mutilated Corpses,Denis Möller,E2M5,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,6,Slaughter Until Death: Damned Bastards,Denis Möller,E2M6,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,7,Slaughter Until Death: Dehumanization,Thomas Möller,E2M7,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,8,Slaughter Until Death: Baphomets Throne,Thomas Möller,E2M8,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,9,9,Slaughter Until Death: Arena of Punishment,Thomas Möller,E2M9,,https://doomwiki.org/wiki/Slaughter_Until_Death,DOOM.WAD,SUDTIC.WAD,
1994,10,1,The Evil Unleashed: Out of Control,The Innocent Crew,E3M1,No specific names on doom wiki for each map,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,2,The Evil Unleashed: Military Depot,The Innocent Crew,E3M2,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,3,The Evil Unleashed: Lost Defense Base,The Innocent Crew,E3M3,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,4,The Evil Unleashed: Disastrous Unrest,The Innocent Crew,E3M4,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,5,The Evil Unleashed: Infernal Vortex,The Innocent Crew,E3M5,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,6,The Evil Unleashed: Dark Altar,The Innocent Crew,E3M6,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,7,The Evil Unleashed: Infested Ruins,The Innocent Crew,E3M7,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,8,The Evil Unleashed: Raze,The Innocent Crew,E3M8,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
1994,10,9,The Evil Unleashed: Savage Area,The Innocent Crew,E3M9,,https://doomwiki.org/wiki/The_Evil_Unleashed,DOOM.WAD,TEUTIC.WAD,
